date,n1,n2,n3,n4,n5
2019-01-02 11:00:00,-0.18,-0.104,1.436,-0.633,1.525
2019-01-02 12:00:00,0.751,0.233,1.201,-0.834,-0.461
2019-01-02 13:00:00,-0.271,-0.096,-0.295,-1.526,0.07
2019-01-02 14:00:00,2.392,-1.206,-0.839,0.276,0.485
2019-01-02 15:00:00,-0.671,1.791,-0.561,-1.152,0.904
2019-01-02 16:00:00,-0.794,1.771,-0.367,1.522,-0.349
2019-01-02 17:00:00,0.984,-0.764,1.585,0.145,1.754
2019-01-02 18:00:00,-1.594,0.951,-0.847,1.849,1.924
2019-01-02 19:00:00,-1.616,0.656,0.385,-2.836,1.581
2019-01-02 20:00:00,-0.428,0.382,-1.865,-1.088,-0.23
2019-01-02 21:00:00,-2.426,-1.363,1.415,0.52,1.595
2019-01-02 22:00:00,0.286,-2.271,0.383,0.246,-0.91
2019-01-02 23:00:00,0.211,-0.61,-0.01,0.698,2.391
2019-01-03 00:00:00,0.426,0.913,-1.81,-0.397,0.144
2019-01-03 01:00:00,-1.213,0.441,1.858,-1.589,1.394
2019-01-03 02:00:00,0.355,0.239,0.231,1.129,0.178
2019-01-03 03:00:00,-1.304,-0.968,0.907,-0.049,0.776
2019-01-03 04:00:00,0.328,-0.912,-0.374,-0.395,-0.779
2019-01-03 05:00:00,0.024,0.777,-0.36,0.792,-1.413
2019-01-03 06:00:00,0.315,0.445,3.148,-0.431,0.047
2019-01-03 07:00:00,1.024,-0.237,-0.745,0.47,-0.39
2019-01-03 08:00:00,0.052,0.849,1.677,-0.62,-2.483
2019-01-03 09:00:00,1.071,1.041,1.441,-1.499,0.078
2019-01-03 10:00:00,1.134,-0.402,0.957,0.068,0.333
2019-01-03 11:00:00,0.755,-0.274,-0.298,0.243,-0.321
2019-01-03 12:00:00,1.298,0.777,-1.278,0.928,-1.343
2019-01-03 13:00:00,-1.325,-2.383,-0.7,0.42,0.115
2019-01-03 14:00:00,-0.049,-0.385,0.155,0.965,-1.575
2019-01-03 15:00:00,-0.075,-0.904,0.285,-1.721,-0.341
2019-01-03 16:00:00,-0.231,0.719,0.246,1.354,2.017
2019-01-03 17:00:00,-0.214,-0.624,-0.173,0.795,-1.792
2019-01-03 18:00:00,-0.164,1.918,-0.708,-0.91,1.678
2019-01-03 19:00:00,0.831,0.924,0.608,-0.662,1.459
2019-01-03 20:00:00,-0.932,-0.449,0.198,1.727,-0.449
2019-01-03 21:00:00,-1.436,-0.122,-0.291,-0.707,-0.89
2019-01-03 22:00:00,-0.293,0.048,0.582,-0.782,0.598
2019-01-03 23:00:00,0.742,-0.836,-0.124,-2.278,0.866
2019-01-04 00:00:00,-0.298,-0.036,0.357,0.177,-0.043
2019-01-04 01:00:00,0.885,0.224,-0.08,-1.394,-0.15
2019-01-04 02:00:00,1.232,0.152,-1.613,1.502,1.2
2019-01-04 03:00:00,0.323,-0.206,1.796,0.9,0.508
2019-01-04 04:00:00,-1.108,1.8,0.13,0.374,-0.999
2019-01-04 05:00:00,0.135,0.667,-0.771,0.59,0.124
2019-01-04 06:00:00,-0.845,-0.897,-0.779,1.049,0.289
2019-01-04 07:00:00,0.295,-0.024,-0.671,0.528,0.479
2019-01-04 08:00:00,-1.217,-0.97,0.28,-2.035,-1.738
2019-01-04 09:00:00,-0.068,0.497,-0.801,0.864,0.727
2019-01-04 10:00:00,0.743,-0.984,-0.93,-0.12,-0.423
2019-01-04 11:00:00,-0.87,0.298,-0.323,1.487,0.577
2019-01-04 12:00:00,-0.871,-1.32,1.964,-0.595,1.215
2019-01-04 13:00:00,0.179,0.603,-1.882,1.861,1.019
2019-01-04 14:00:00,0.279,-0.136,0.904,0.868,-1.371
2019-01-04 15:00:00,-0.741,-0.251,0.602,-0.973,-1.882
2019-01-04 16:00:00,-0.106,-1.029,-0.422,-0.433,0.711
2019-01-04 17:00:00,-0.893,-0.319,-0.05,0.017,0.272
2019-01-04 18:00:00,-0.245,-0.375,-2.521,-1.766,0.845
2019-01-04 19:00:00,-0.336,0.438,0.53,1.361,-0.691
2019-01-04 20:00:00,-0.835,0.287,0.346,-0.52,0.618
2019-01-04 21:00:00,0.468,-1.067,-0.213,-0.196,-0.354
2019-01-04 22:00:00,-0.092,-0.835,-1.707,-0.174,-0.016
2019-01-04 23:00:00,-0.278,0.736,0.551,0.59,0.847
2019-01-05 00:00:00,-0.119,-0.069,0.603,0.226,-0.405
2019-01-05 01:00:00,0.226,1.646,0.778,0.297,0.099
2019-01-05 02:00:00,1.39,-0.899,1.346,-0.05,-1.244
2019-01-05 03:00:00,-0.035,0.562,0.513,0.782,0.558
2019-01-05 04:00:00,-2.165,-1.045,-1.558,-0.735,0.614
2019-01-05 05:00:00,0.713,-0.719,-1.664,-0.026,-1.339
2019-01-05 06:00:00,0.695,-0.188,0.873,1.243,1.849
2019-01-05 07:00:00,-3.187,-0.166,0.315,0.672,1.068
2019-01-05 08:00:00,0.172,0.216,-0.233,-1.345,0.515
2019-01-05 09:00:00,-0.532,-0.572,-1.9,0.993,0.3
2019-01-05 10:00:00,0.409,0.324,0.878,-1.319,1.507
2019-01-05 11:00:00,0.294,-1.528,-0.676,0.082,-0.052
2019-01-05 12:00:00,-1.688,-0.176,1.217,0.683,0.65
2019-01-05 13:00:00,-0.74,-0.838,0.626,0.118,-0.786
2019-01-05 14:00:00,2.293,0.532,1.29,0.161,-1.213
2019-01-05 15:00:00,-0.847,-1.612,0.266,0.579,0.991
2019-01-05 16:00:00,-0.772,-0.867,2.069,-0.285,1.814
2019-01-05 17:00:00,-0.195,1.53,1.444,0.81,-0.766
2019-01-05 18:00:00,-1.006,-2.109,0.085,0.207,-1.565
2019-01-05 19:00:00,1.402,1.238,1.84,0.466,0.684
2019-01-05 20:00:00,1.429,-0.551,-1.686,-0.389,0.843
2019-01-05 21:00:00,-0.123,-0.363,-0.104,-1.335,-0.321
2019-01-05 22:00:00,-1.208,1.032,-0.305,-0.088,0.548
2019-01-05 23:00:00,-2.054,2.808,3.353,-0.374,0.434
2019-01-06 00:00:00,0.463,1.645,-2.18,0.14,0.654
2019-01-06 01:00:00,0.654,-1.532,-0.155,0.078,-0.127
2019-01-06 02:00:00,1.416,1.229,-2.109,-0.656,-1.006
2019-01-06 03:00:00,-0.699,1.884,-0.189,0.441,1.783
2019-01-06 04:00:00,-0.905,-0.195,0.896,0.937,-0.766
2019-01-06 05:00:00,0.284,0.758,-1.616,-0.255,0.963
2019-01-06 06:00:00,-0.706,-0.427,0.594,-0.347,-1.285
2019-01-06 07:00:00,-0.49,0.325,-0.214,0.815,0.053
2019-01-06 08:00:00,-0.731,-0.891,-0.423,-0.736,0.353
2019-01-06 09:00:00,1.018,-0.455,-0.743,-0.641,-0.22
2019-01-06 10:00:00,0.758,-0.49,-0.819,1.31,-0.927
2019-01-06 11:00:00,1.909,0.951,0.642,-0.448,-1.57
2019-01-06 12:00:00,0.24,-0.646,0.46,1.577,-0.634
2019-01-06 13:00:00,-0.219,0.504,-1.997,0.643,0.176
2019-01-06 14:00:00,0.164,-0.757,1.086,0.357,1.316
2019-01-06 15:00:00,0.502,0.912,0.735,0.651,0.025
2019-01-06 16:00:00,0.812,-0.327,1.257,-0.537,0.431
2019-01-06 17:00:00,-0.176,-0.713,-1.316,-1.204,0.094
2019-01-06 18:00:00,-2.263,1.799,0.894,1.037,-1.586
2019-01-06 19:00:00,2.166,2.181,0.5,0.24,0.441
2019-01-06 20:00:00,-0.546,0.64,2.519,1.273,1.409
2019-01-06 21:00:00,-0.457,-0.253,0.043,-0.142,1.108
2019-01-06 22:00:00,-0.405,0.129,-0.66,0.737,-0.257
2019-01-06 23:00:00,1.33,-0.646,0.044,-1.414,1.175
2019-01-07 00:00:00,-0.189,-1.555,-1.437,-1.772,-1.074
2019-01-07 01:00:00,-0.131,-1.967,0.044,-0.085,3.038
2019-01-07 02:00:00,1.404,0.834,-0.414,-0.677,-1.067
2019-01-07 03:00:00,-0.797,-0.637,-0.882,1.561,1.383
2019-01-07 04:00:00,-1.775,1.304,-1.768,0.875,0.511
2019-01-07 05:00:00,1.067,1.687,0.609,0.684,-0.766
2019-01-07 06:00:00,1.374,0.765,0.677,-0.948,-0.121
2019-01-07 07:00:00,0.357,-0.152,0.121,0.669,0.503
2019-01-07 08:00:00,-0.076,-0.865,0.608,-0.584,1.336
2019-01-07 09:00:00,0.72,1.014,1.239,1.214,-0.592
2019-01-07 10:00:00,0.642,0.989,1.613,0.344,0.859
2019-01-07 11:00:00,1.369,0.199,-0.842,-0.377,-1.193
2019-01-07 12:00:00,0.445,1.575,-1.88,0.718,0.69
2019-01-07 13:00:00,0.829,0.801,-0.818,-0.852,1.361
2019-01-07 14:00:00,1.442,1.296,-1.216,-0.432,-0.878
2019-01-07 15:00:00,0.412,2.006,-0.364,-1.375,-0.799
2019-01-07 16:00:00,-0.165,-0.138,0.661,-2.312,-0.117
2019-01-07 17:00:00,0.397,1.125,0.443,-1.164,1.615
2019-01-07 18:00:00,-1.614,0.006,0.485,-0.622,-1.174
2019-01-07 19:00:00,-2.259,2.175,1.296,0.457,0.532
2019-01-07 20:00:00,-0.351,0.504,1.574,-0.259,1.328
2019-01-07 21:00:00,1.025,0.76,1.563,1.896,1.362
2019-01-07 22:00:00,-0.329,-0.828,-1.465,0.043,0.994
2019-01-07 23:00:00,0.609,0.322,0.806,-2.566,-0.199
2019-01-08 00:00:00,-0.68,-0.596,-1.586,-1.59,1.243
2019-01-08 01:00:00,1.808,-0.367,2.548,-0.342,1.815
2019-01-08 02:00:00,0.203,1.127,0.234,0.899,0.39
2019-01-08 03:00:00,0.386,-0.983,0.954,0.325,1.655
2019-01-08 04:00:00,1.726,1.163,-0.818,0.083,2.209
2019-01-08 05:00:00,-0.652,1.548,0.132,0.875,0.078
2019-01-08 06:00:00,0.455,-0.038,-1.108,0.703,-0.756
2019-01-08 07:00:00,-2.238,-0.424,0.431,1.078,-0.734
2019-01-08 08:00:00,1.159,1.307,1.666,-0.436,0.628
2019-01-08 09:00:00,-1.374,-0.98,-0.435,0.653,-1.605
2019-01-08 10:00:00,0.225,0.905,0.486,1.228,0.941
2019-01-08 11:00:00,-2.095,0.471,-1.36,-1.829,0.046
2019-01-08 12:00:00,1.36,-0.237,0.372,0.895,-1.123
2019-01-08 13:00:00,0.988,-0.237,0.65,-0.239,-0.877
2019-01-08 14:00:00,-1.312,-0.569,-0.286,-1.269,-1.934
2019-01-08 15:00:00,-0.625,0.831,1.016,-0.347,0.402
2019-01-08 16:00:00,-0.103,1.132,0.637,0.466,0.051
2019-01-08 17:00:00,0.636,1.2,-0.392,-0.044,0.148
2019-01-08 18:00:00,-0.65,1.058,-1.801,0.477,0.952
2019-01-08 19:00:00,1.267,0.459,1.538,1.522,-0.339
2019-01-08 20:00:00,0.583,0.18,-1.503,1.732,0.017
2019-01-08 21:00:00,0.599,-0.805,-0.404,-0.793,-1.347
2019-01-08 22:00:00,-1.208,-0.162,-0.118,-0.101,-1.493
2019-01-08 23:00:00,-0.196,0.095,-0.417,-1.767,0.664
2019-01-09 00:00:00,0.823,-1.189,-0.323,0.607,-0.796
2019-01-09 01:00:00,-1.795,1.147,0.465,-0.511,1.304
2019-01-09 02:00:00,-1.405,0.555,0.041,0.974,0.458
2019-01-09 03:00:00,0.37,-0.449,0.642,-0.138,0.588
2019-01-09 04:00:00,0.223,-1.9,-0.169,0.938,1.135
2019-01-09 05:00:00,-0.073,0.934,-0.065,-0.519,-0.028
2019-01-09 06:00:00,-0.474,-0.223,1.8,-0.494,-1.786
2019-01-09 07:00:00,-1.835,-0.965,-0.52,1.002,1.164
2019-01-09 08:00:00,1.006,-0.072,-1.378,0.577,-0.027
2019-01-09 09:00:00,0.998,-0.455,-0.325,3.236,-0.599
2019-01-09 10:00:00,-1.3,-0.489,-1.061,0.821,-0.306
2019-01-09 11:00:00,0.071,0.544,-0.702,0.753,0.392
2019-01-09 12:00:00,-0.834,0.005,0.34,-0.167,0.261
2019-01-09 13:00:00,-0.213,1.601,1.539,0.964,0.022
2019-01-09 14:00:00,-0.11,-1.04,0.343,-0.127,-0.272
2019-01-09 15:00:00,0.593,-2.219,1.627,-1.455,0.674
2019-01-09 16:00:00,0.421,0.787,-1.757,0.76,1.621
2019-01-09 17:00:00,0.124,-0.609,1.242,-0.804,-2.034
2019-01-09 18:00:00,-1.011,-0.62,0.765,0.214,1.963
2019-01-09 19:00:00,-0.503,-0.517,-1.055,-0.507,0.151
2019-01-09 20:00:00,-1.17,-1.819,-0.418,1.661,2.039
2019-01-09 21:00:00,-1.059,2.337,0.18,0.745,-1.279
2019-01-09 22:00:00,-0.867,1.864,-0.404,0.355,0.415
2019-01-09 23:00:00,0.143,0.578,-0.854,-0.64,-0.459
2019-01-10 00:00:00,-1.748,0.008,-0.211,0.429,0.146
2019-01-10 01:00:00,0.247,-0.289,0.73,1.41,0.795
2019-01-10 02:00:00,0.092,0.149,-0.051,0.465,0.36
2019-01-10 03:00:00,-1.197,0.644,0.314,-0.339,0.335
2019-01-10 04:00:00,0.395,-0.365,-0.672,-1.821,-0.841
2019-01-10 05:00:00,0.865,-0.959,-0.353,-0.581,0.428
2019-01-10 06:00:00,0.222,-1.156,0.694,0.055,0.675
2019-01-10 07:00:00,1.189,0.417,0.933,-2.443,-0.319
2019-01-10 08:00:00,-0.07,-1.263,2.084,-0.376,-0.957
2019-01-10 09:00:00,0.845,0.09,-0.129,-0.479,-0.773
2019-01-10 10:00:00,0.878,-2.385,-0.397,0.213,0.941
2019-01-10 11:00:00,-0.81,0.925,0.036,-1.817,-0.642
2019-01-10 12:00:00,1.848,-0.141,1.452,-0.373,-1.394
2019-01-10 13:00:00,-1.413,-1.609,1.827,0.552,-1.458
2019-01-10 14:00:00,0.07,0.774,2.912,-0.583,-0.631
2019-01-10 15:00:00,0.654,0.983,-0.289,0.704,1.382
2019-01-10 16:00:00,-0.511,-0.222,-3.17,0.149,1.555
2019-01-10 17:00:00,1.865,-0.662,-0.55,0.838,0.093
2019-01-10 18:00:00,0.152,-0.146,2.91,1.058,0.919
2019-01-10 19:00:00,2.494,0.858,0.599,0.225,0.001
2019-01-10 20:00:00,-1.996,0.944,1.632,-0.019,-0.222
2019-01-10 21:00:00,-0.888,-1.734,-0.273,0.044,0.864
2019-01-10 22:00:00,0.167,1.324,-1.314,0.291,1.414
2019-01-10 23:00:00,0.477,-0.285,0.325,-0.594,-0.823
2019-01-11 00:00:00,-1.148,0.296,-0.57,0.045,0.764
2019-01-11 01:00:00,-0.917,0.073,-0.011,-0.127,-0.807
2019-01-11 02:00:00,-0.651,-2.116,-2.1,-0.982,-1.245
2019-01-11 03:00:00,-0.933,2.11,-0.633,0.92,0.385
2019-01-11 04:00:00,-0.155,1.311,-0.212,-0.878,1.447
2019-01-11 05:00:00,-0.378,0.767,-0.402,0.016,-0.955
2019-01-11 06:00:00,1.086,1.257,-1.053,1.012,0.124
2019-01-11 07:00:00,-1.154,1.491,0.232,-1.889,0.634
2019-01-11 08:00:00,1.544,0.228,0.908,0.839,-0.47
2019-01-11 09:00:00,-0.629,1.996,-0.481,0.046,-0.776
2019-01-11 10:00:00,-0.409,-0.063,-0.319,-0.902,1.237
2019-01-11 11:00:00,0.504,-0.493,-0.841,0.351,-0.073
2019-01-11 12:00:00,-0.337,-0.309,-0.437,1.604,-0.809
2019-01-11 13:00:00,-0.932,-0.789,-0.317,0.303,1.52
2019-01-11 14:00:00,0.132,-0.583,1.155,-1.124,-0.142
2019-01-11 15:00:00,-0.293,1.573,-0.218,0.776,0.698
2019-01-11 16:00:00,-1.221,0.068,-0.164,-2.355,0.919
2019-01-11 17:00:00,-0.809,0.563,0.753,0.314,0.459
2019-01-11 18:00:00,0.931,-0.787,0.016,1.411,-0.279
2019-01-11 19:00:00,3.261,0.317,-1.115,0.57,-2.628
2019-01-11 20:00:00,-0.244,0.588,-0.951,-0.604,1.102
2019-01-11 21:00:00,1.347,1.351,2.144,2.305,0.163
2019-01-11 22:00:00,0.507,-1.313,-1.092,0.103,-0.866
2019-01-11 23:00:00,-0.403,1.198,-0.167,0.944,1.183
2019-01-12 00:00:00,-0.2,0.451,0.134,-0.308,-0.294
2019-01-12 01:00:00,1.84,1.293,0.562,0.63,-0.572
2019-01-12 02:00:00,0.894,1.025,1.515,1.487,0.73
2019-01-12 03:00:00,0.723,-2.268,0.071,-0.091,0.467
2019-01-12 04:00:00,0.891,-0.526,0.031,1.365,0.253
2019-01-12 05:00:00,0.146,1.205,-0.474,-0.216,0.027
2019-01-12 06:00:00,-0.601,-0.293,0.998,1.157,0.196
2019-01-12 07:00:00,-0.511,0.915,-0.774,-0.635,-1.922
2019-01-12 08:00:00,0.381,0.583,1.801,-1.227,-0.193
2019-01-12 09:00:00,0.275,0.364,-0.804,-1.398,1.492
2019-01-12 10:00:00,0.675,0.898,0.698,1.359,-0.625
2019-01-12 11:00:00,0.527,-0.816,1.023,-0.737,-1.495
2019-01-12 12:00:00,-1.909,1.674,-0.71,-0.123,-0.949
2019-01-12 13:00:00,0.544,-0.768,1.041,-1.723,-1.114
2019-01-12 14:00:00,-1.019,1.349,0.45,0.112,0.5
2019-01-12 15:00:00,0.844,1.335,0.785,-0.851,-0.114
2019-01-12 16:00:00,-1.143,0.078,0.651,-1.564,0.103
2019-01-12 17:00:00,-0.186,-1.391,-1.258,0.646,0.932
2019-01-12 18:00:00,0.161,0.77,0.18,-1.504,-0.947
2019-01-12 19:00:00,1.568,-0.392,-1.258,-0.176,-0.539
2019-01-12 20:00:00,1.194,-0.381,-0.523,-0.804,-0.076
2019-01-12 21:00:00,-0.282,-1.294,0.274,1.157,1.124
2019-01-12 22:00:00,-1.281,-1.024,0.015,-0.615,0.598
2019-01-12 23:00:00,0.355,0.749,1.329,-0.114,0.406
2019-01-13 00:00:00,-2.15,0.219,0.432,0.429,-0.333
2019-01-13 01:00:00,-1.009,0.3,-1.216,1.005,1.57
2019-01-13 02:00:00,-0.218,0.566,-0.512,-0.04,-0.575
2019-01-13 03:00:00,-1.386,-0.65,0.815,0.418,-0.363
2019-01-13 04:00:00,0.345,-1.091,0.582,-0.122,0.609
2019-01-13 05:00:00,0.695,0.361,0.473,0.799,-0.56
2019-01-13 06:00:00,1.375,-2.01,-0.242,1.874,-1.627
2019-01-13 07:00:00,-0.64,-1.859,-1.509,-0.092,-0.027
2019-01-13 08:00:00,-0.137,0.288,0.035,-0.044,-1.307
2019-01-13 09:00:00,-0.515,0.95,-1.233,0.24,-0.509
2019-01-13 10:00:00,-0.334,-0.618,-0.379,-1.274,-1.88
2019-01-13 11:00:00,-0.158,1.743,1.155,1.232,1.195
2019-01-13 12:00:00,0.218,-1.158,0.365,0.354,1.322
2019-01-13 13:00:00,-0.455,-2.419,-2.365,0.536,-0.375
2019-01-13 14:00:00,0.779,-1.772,0.683,-3.424,0.185
2019-01-13 15:00:00,-1.745,-0.573,-0.074,-0.704,0.113
2019-01-13 16:00:00,0.13,-1.471,-0.499,0.686,0.918
2019-01-13 17:00:00,-0.518,0.484,1.816,-0.202,0.75
2019-01-13 18:00:00,-0.737,0.612,0.312,0.204,-0.534
2019-01-13 19:00:00,0.561,1.957,1.095,-0.177,0.239
2019-01-13 20:00:00,2.391,0.963,-0.548,0.95,0.436
2019-01-13 21:00:00,0.385,0.412,0.261,-1.014,0.051
2019-01-13 22:00:00,0.284,-0.846,-1.462,0.12,0.233
2019-01-13 23:00:00,1.436,-1.506,1.343,0.374,1.862
2019-01-14 00:00:00,0.698,-0.591,-1.692,0.706,-0.392
2019-01-14 01:00:00,1.333,-0.087,-1.546,-0.808,0.093
2019-01-14 02:00:00,-1.177,0.643,0.903,0.204,0.687
2019-01-14 03:00:00,-0.917,1.24,-0.849,1.278,-0.707
2019-01-14 04:00:00,0.034,-1.168,0.5,-0.962,-0.287
2019-01-14 05:00:00,0.943,3.127,0.796,1.665,-0.031
2019-01-14 06:00:00,0.192,-0.879,-1.326,-1.113,0.77
2019-01-14 07:00:00,0.364,0.351,-0.492,0.136,0.416
2019-01-14 08:00:00,1.528,-0.634,-0.077,-0.527,0.051
2019-01-14 09:00:00,1.612,-0.28,1.073,1.318,-0.187
2019-01-14 10:00:00,-1.458,-0.245,-1.424,0.431,0.398
2019-01-14 11:00:00,0.073,0.159,-0.654,-0.237,0.792
2019-01-14 12:00:00,0.341,-0.602,0.505,0.562,0.706
2019-01-14 13:00:00,1.455,-1.209,1.924,-0.077,0.2
2019-01-14 14:00:00,-1.463,0.038,-0.654,-1.054,-1.19
2019-01-14 15:00:00,0.763,1.074,0.96,-1.389,0.942
2019-01-14 16:00:00,1.078,0.769,1.669,0.822,1.664
2019-01-14 17:00:00,0.116,0.198,-0.015,-0.221,-0.686
2019-01-14 18:00:00,-1.999,-0.64,1.131,1.05,-1.094
2019-01-14 19:00:00,-0.169,1.213,1.206,0.416,0.815
2019-01-14 20:00:00,0.635,-2.839,0.144,0.217,0.76
2019-01-14 21:00:00,1.184,-1.908,-1.258,-0.69,0.386
2019-01-14 22:00:00,0.731,-0.199,-0.517,0.817,0.983
2019-01-14 23:00:00,0.744,-0.471,-0.288,1.379,-0.259
2019-01-15 00:00:00,2.664,-0.176,-0.925,1.078,0.117
2019-01-15 01:00:00,-0.684,-0.016,0.285,-0.718,0.996
2019-01-15 02:00:00,-0.984,-1.297,0.541,0.706,-0.53
2019-01-15 03:00:00,0.489,-1.304,0.096,-0.21,-0.868
2019-01-15 04:00:00,1.48,-0.11,1.327,1.591,-0.243
2019-01-15 05:00:00,-0.913,-0.184,0.424,-0.563,-1.472
2019-01-15 06:00:00,0.942,0.415,-0.552,0.195,-0.553
2019-01-15 07:00:00,1.312,0.326,0.224,1.442,0.948
2019-01-15 08:00:00,0.825,0.199,-2.3,-0.135,0.446
2019-01-15 09:00:00,0.577,0.128,-0.17,0.966,1.187
2019-01-15 10:00:00,0.833,0.035,1.244,-0.163,1.124
2019-01-15 11:00:00,0.333,0.503,-0.977,0.907,0.504
2019-01-15 12:00:00,0.437,0.167,0.613,0.0,-0.13
2019-01-15 13:00:00,-0.906,0.554,0.331,0.434,-0.117
2019-01-15 14:00:00,0.648,0.569,1.136,-0.3,1.725
2019-01-15 15:00:00,-0.419,-0.133,-0.75,-2.22,0.705
2019-01-15 16:00:00,-1.036,-1.243,0.433,-0.936,0.468
2019-01-15 17:00:00,0.855,0.654,-1.307,-0.221,-1.179
2019-01-15 18:00:00,-0.343,0.032,0.329,-1.627,1.22
2019-01-15 19:00:00,-2.343,-0.928,-0.983,0.534,0.648
2019-01-15 20:00:00,0.869,-0.34,0.976,-0.463,-0.932
2019-01-15 21:00:00,-0.653,0.655,-2.691,-0.218,1.151
2019-01-15 22:00:00,-0.236,-1.5,0.886,-1.492,-2.159
2019-01-15 23:00:00,0.88,0.137,-1.178,0.688,0.288
2019-01-16 00:00:00,0.942,0.39,-0.366,1.46,0.298
2019-01-16 01:00:00,-0.803,0.566,0.866,0.236,2.071
2019-01-16 02:00:00,0.809,-1.36,2.147,-0.466,-1.431
2019-01-16 03:00:00,1.629,-1.889,0.13,0.98,-0.184
2019-01-16 04:00:00,2.374,-0.314,-0.733,0.457,0.446
2019-01-16 05:00:00,0.007,0.192,-1.581,-0.248,0.971
2019-01-16 06:00:00,0.142,0.934,2.367,-0.016,0.468
2019-01-16 07:00:00,0.312,1.634,-1.677,-1.175,-0.754
2019-01-16 08:00:00,-0.613,-0.37,0.2,-0.481,-0.645
2019-01-16 09:00:00,-0.918,0.97,-1.394,0.446,-0.778
2019-01-16 10:00:00,-1.874,-0.883,1.146,0.617,-2.231
2019-01-16 11:00:00,0.258,-1.002,1.209,-1.368,-0.379
2019-01-16 12:00:00,-0.835,2.48,1.065,-1.103,1.057
2019-01-16 13:00:00,-1.288,1.318,0.674,-0.917,-0.971
2019-01-16 14:00:00,-0.428,-0.315,-1.237,0.119,0.445
2019-01-16 15:00:00,-1.664,0.922,0.677,0.146,1.29
2019-01-16 16:00:00,-0.666,0.168,0.154,0.083,-0.563
2019-01-16 17:00:00,-0.064,-0.125,1.236,-0.121,0.212
2019-01-16 18:00:00,0.583,0.507,1.991,2.313,-1.155
2019-01-16 19:00:00,-0.268,-0.658,-1.111,-0.516,-0.04
2019-01-16 20:00:00,0.466,1.758,0.099,-1.009,1.279
2019-01-16 21:00:00,-0.401,-0.79,-0.143,-1.42,0.247
2019-01-16 22:00:00,-0.818,-0.928,-1.133,-0.298,-0.618
2019-01-16 23:00:00,1.16,-1.451,-0.713,1.409,-2.563
2019-01-17 00:00:00,-2.968,-3.104,1.032,-0.137,-1.526
2019-01-17 01:00:00,-0.086,1.126,0.101,-1.88,0.501
2019-01-17 02:00:00,-0.869,1.445,0.512,1.596,-0.355
2019-01-17 03:00:00,0.803,-0.412,0.942,-0.169,0.907
2019-01-17 04:00:00,-2.302,-0.524,-1.118,-1.115,1.065
2019-01-17 05:00:00,-0.579,-0.154,1.089,-0.707,-0.496
2019-01-17 06:00:00,0.103,1.457,0.465,-0.587,-1.1
2019-01-17 07:00:00,0.009,0.549,1.19,1.341,-0.92
2019-01-17 08:00:00,1.284,-0.525,-0.114,0.803,0.893
2019-01-17 09:00:00,-0.804,-0.457,-0.58,-0.726,0.026
